1car30KCl10A_1243.tif
             q                I              Err   
      0.025331475        22884.076        726.05410
      0.027997898        20400.568        369.65424
      0.030664307        18696.068        155.12668
      0.033330699        17019.756        118.75360
      0.035997075        15488.543        98.457625
      0.038663432        14143.940        88.919999
      0.041329769        12924.485        79.052307
      0.043996085        11817.291        161.69819
      0.046662379        10857.247        63.505354
      0.049328648        9983.9481        57.663752
      0.051994892        9156.2136        54.449312
      0.054661109        8435.2261        47.892143
      0.057327298        7800.2794        43.449992
      0.059993457        7198.4494        41.089921
      0.062659586        6679.4245        38.486164
      0.065325682        6207.8191        35.272416
      0.067991745        5786.7488        49.807374
      0.070657773        5371.9272        43.259882
      0.073323764        5004.3874        37.691838
      0.075989718        4677.2278        36.973585
      0.078655632        4364.1598        33.948044
      0.081321506        4103.0500        31.089450
      0.083987339        3834.8663        29.308100
      0.086653128        3619.2428        48.160566
      0.089318872        3415.3331        39.115076
      0.091984570        3256.0338        42.988124
      0.094650221        3064.2354        34.363656
      0.097315824        2886.6843        30.189968
      0.099981376        2751.2239        29.499134
       0.10264688        2593.2160        25.910371
       0.10531233        2456.9929        23.201753
       0.10797772        2332.9052        22.426468
       0.11064306        2206.3814        19.883767
       0.11330834        2113.4863        19.928077
       0.11597356        2005.4890        18.334564
       0.11863873        1921.3308        17.660017
       0.12130383        1824.2951        17.116245
       0.12396887        1739.6567        15.943163
       0.12663384        1659.3452        15.628832
       0.12929876        1593.3872        14.239738
       0.13196360        1520.3459        14.377232
       0.13462838        1466.6678        13.850355
       0.13729308        1403.5602        13.727175
       0.13995772        1343.8724        13.586238
       0.14262229        1280.7778        12.865617
       0.14528678        1239.7935        16.021659
       0.14795119        1193.1070        12.451889
       0.15061554        1143.8090        11.826521
       0.15327980        1102.0450        17.831784
       0.15594398        1059.8937        11.276867
       0.15860809        1025.4106        10.995360
       0.16127211        985.26895        10.806101
       0.16393605        954.04503        10.796519
       0.16659991        922.18520        10.449104
       0.16926368        888.78962        10.359838
       0.17192736        856.98108        10.186429
       0.17459095        829.98058        10.013969
       0.17725446        806.71295        9.5133670
       0.17991787        769.84655        13.484651
       0.18258119        753.12683        9.6230803
       0.18524442        725.39156        9.3071459
       0.18790755        704.98511        9.2234222
       0.19057059        685.67177        9.8695230
       0.19323353        665.09485        10.096794
       0.19589637        648.39651        9.9089907
       0.19855911        625.02204        9.7552120
       0.20122174        610.54530        9.2990453
       0.20388427        587.33119        9.4982860
       0.20654670        576.54852        9.3912789
       0.20920902        558.94345        9.7028504
       0.21187124        542.98899        11.215912
       0.21453334        530.86758        9.3854069
       0.21719534        515.94671        10.694854
       0.21985722        501.91713        8.9902116
       0.22251900        490.95555        8.6611257
       0.22518065        469.20962        8.5005025
       0.22784219        461.44005        8.4161801
       0.23050362        450.27450        8.3342906
       0.23316492        440.88416        8.2238107
       0.23582611        427.58545        8.1998825
       0.23848718        424.42663        8.1811373
       0.24114812        410.96318        8.0553906
       0.24380894        403.00361        8.1024494
       0.24646963        389.60258        8.1083243
       0.24913020        384.58775        7.7849455
       0.25179064        371.90041        8.0199112
       0.25445095        374.41071        7.8665555
       0.25711113        355.31384        7.7102587
       0.25977118        351.11707        7.7362425
       0.26243110        339.52598        7.8094273
       0.26509088        337.17934        8.4728608
       0.26775052        329.72140        8.4454174
       0.27041003        322.09114        7.5797237
       0.27306940        312.21278        7.5410038
       0.27572863        309.88848        7.4531536
       0.27838771        300.51397        7.6848400
       0.28104666        294.74269        7.5562456
       0.28370546        290.93162        7.4230693
       0.28636411        289.47824        7.3867226
       0.28902262        282.48762        7.4866357
       0.29168098        278.15285        8.2673187
       0.29433920        270.40888        7.5820477
       0.29699726        266.90242        7.6804299
       0.29965516        264.57090        7.6402720
       0.30231292        258.65267        7.6334658
       0.30497052        251.51873        7.6767863
       0.30762796        251.04245        8.8668617
       0.31028525        241.12575        7.7936717
       0.31294238        238.39075        8.2814487
       0.31559934        234.62417        8.3548381
       0.31825615        230.20221        8.5250493
       0.32091279        229.88401        8.5259503
       0.32356927        225.04573        8.6702901
       0.32622558        225.51503        8.1248804
       0.32888173        217.81591        8.3665068
       0.33153771        218.40903        8.4101890
       0.33419351        211.34579        8.5363716
       0.33684915        210.16051        8.5708934
       0.33950462        204.70681        9.2913349
       0.34215991        203.33604        8.8952785
       0.34481502        199.35781        9.1593402
       0.34746996        197.55431        9.9258802
       0.35012473        195.72488        9.6520740
       0.35277931        190.05647        9.9331990
       0.35543371        188.07225        10.684086
       0.35808793        183.26817        11.087614
       0.36074197        178.22911        11.716010
       0.36339583        182.52198        11.993257
       0.36604950        177.32788        11.668068
       0.36870298        171.90676        12.615388
       0.37135627        168.13829        12.198097
       0.37400937        167.79363        12.456576
       0.37666229        164.01628        12.662351
       0.37931500        160.53090        13.012503
       0.38196753        158.46869        13.512572
       0.38461986        151.17655        13.725018
       0.38727200        153.17550        14.084654
       0.38992393        148.88321        14.407384
       0.39257567        146.69659        14.943792
       0.39522721        144.22344        15.249500
       0.39787855        138.48392        15.818994
       0.40052968        136.02804        15.958756
       0.40318061        132.31686        16.526527
       0.40583133        127.14236        16.665891
       0.40848185        127.01573        16.996819
       0.41113216        124.27452        17.197284
       0.41378226        123.39669        17.653457
       0.41643214        115.70724        17.878019
       0.41908182        114.11708        17.678558
       0.42173128        109.23390        17.820570
       0.42438053        107.78306        17.844517
       0.42702956        104.02591        18.034275
       0.42967837        100.68301        17.996873
       0.43232696        100.22016        18.093312
       0.43497534        102.13884        17.858856
       0.43762349        99.667405        18.138766
       0.44027142        94.662024        17.960537
       0.44291913        92.573252        17.651713
       0.44556661        88.662506        18.147666
       0.44821386        89.829412        17.978130
       0.45086088        86.104618        17.610579
       0.45350768        86.579999        17.383709
       0.45615424        83.690138        17.395875
       0.45880058        83.788425        17.257155
       0.46144668        81.166999        17.319557
       0.46409254        76.922322        17.399786
       0.46673817        78.742823        17.201431
       0.46938356        78.486832        16.910985
       0.47202871        77.977648        16.762885
       0.47467363        73.581175        16.951483
       0.47731830        74.245744        17.133882
       0.47996273        74.418730        17.123644
       0.48260691        69.449847        17.045636
       0.48525085        71.457362        17.338481
       0.48789455        69.957075        17.098198
       0.49053799        69.201332        17.010732
       0.49318119        71.035246        17.129031
       0.49582414        69.266370        16.916501
       0.49846683        69.780945        16.896121
       0.50110927        74.616068        16.674543
       0.50375146        72.920460        16.403698
       0.50639339        72.834989        16.659046
       0.50903507        75.421596        15.967624
       0.51167648        74.207899        16.000063
       0.51431764        74.786555        16.318230
       0.51695854        75.862901        15.793620
       0.51959917        77.793592        15.703706
       0.52223954        80.208746        15.773854
       0.52487965        78.535357        15.227311
       0.52751949        80.240234        15.070529
       0.53015906        82.399980        14.929249
