1car30KCl10A_1259.tif
             q                I              Err   
     0.0017363316        4573.1997        600.91154
     0.0020034595        3525.7270        230.25301
     0.0022705874        2774.9742        129.64035
     0.0025377153        2116.3985        72.449177
     0.0028048432        1631.4789        37.310123
     0.0030719711        1344.3356        25.654933
     0.0033390989        1138.3927        24.225080
     0.0036062268        992.00308        20.099607
     0.0038733546        847.63964        15.558268
     0.0041404824        731.32157        10.577035
     0.0044076102        645.04828        8.4129697
     0.0046747379        581.79144        7.8209757
     0.0049418656        527.49426        7.5531538
     0.0052089933        480.95853        7.0354946
     0.0054761210        433.85140        6.0072548
     0.0057432487        397.50061        5.7150791
     0.0060103763        369.09696        4.5379694
     0.0062775039        342.46824        4.4280835
     0.0065446314        321.26923        4.1626179
     0.0068117589        299.56528        3.8305212
     0.0070788864        283.55910        3.6548332
     0.0073460139        265.05895        3.5342490
     0.0076131413        253.52981        3.4533571
     0.0078802686        241.84989        3.6410353
     0.0081473960        228.78181        3.5193792
     0.0084145233        215.45732        3.4291209
     0.0086816505        208.90592        3.5202070
     0.0089487777        199.24238        3.2578251
     0.0092159049        189.13577        3.1659347
     0.0094830320        184.93478        2.9053506
     0.0097501590        175.27803        2.7839208
      0.010017286        170.03183        2.6897058
      0.010284413        165.60556        2.5375949
      0.010551540        158.63562        2.5132964
      0.010818667        153.65060        2.3964564
      0.011085794        148.49992        2.2792337
      0.011352920        144.31025        2.1771226
      0.011620047        140.39687        2.0841371
      0.011887174        137.87730        2.1749381
      0.012154300        132.56945        2.0651134
      0.012421427        130.11666        2.0492710
      0.012688553        125.46910        1.9551916
      0.012955679        122.71223        1.9353631
      0.013222806        120.84111        1.8750202
      0.013489932        117.60249        1.8663279
      0.013757058        116.18067        1.8135047
      0.014024184        111.69601        1.7153490
      0.014291310        110.15509        1.7337543
      0.014558436        107.61804        1.6960693
      0.014825562        105.37636        1.6688879
      0.015092688        102.92917        1.6841666
      0.015359813        101.76476        1.5950855
      0.015626939        99.494206        1.6001683
      0.015894065        97.649300        1.5311267
      0.016161190        96.280379        1.5642426
      0.016428315        93.525113        1.5430010
      0.016695441        92.740369        1.4745629
      0.016962566        90.244957        1.4527513
      0.017229691        89.258706        1.4722973
      0.017496816        88.856618        1.4243260
      0.017763941        87.615608        1.3982737
      0.018031066        85.742863        1.3837150
      0.018298191        84.075728        1.3731523
      0.018565315        82.720814        1.3446704
      0.018832440        82.209689        1.3364590
      0.019099564        81.124202        1.4058986
      0.019366689        79.667526        1.3542882
      0.019633813        77.960212        1.3658009
      0.019900937        77.465407        1.3668391
      0.020168061        77.372692        1.3647119
      0.020435185        76.043124        1.3288937
      0.020702309        74.753790        1.3232627
      0.020969433        72.957762        1.2919111
      0.021236557        74.228429        1.2815098
      0.021503680        72.932591        1.2436814
      0.021770803        71.187595        1.2330014
      0.022037927        69.920755        1.2194510
      0.022305050        68.795321        1.1819483
      0.022572173        67.951601        1.1590421
      0.022839296        67.320423        1.1576955
      0.023106419        66.929463        1.1475137
      0.023373542        66.125011        1.1191880
      0.023640664        65.563220        1.1217743
      0.023907787        64.340460        1.1311889
      0.024174909        63.802581        1.0951001
      0.024442031        62.697423        1.0910341
      0.024709153        62.570771        1.0647837
      0.024976275        61.937703        1.0382677
      0.025243397        60.160404        1.0212130
      0.025510519        59.940520        1.0347015
      0.025777641        59.941205        1.0320086
      0.026044762        59.330037        1.0123489
      0.026311883        58.335607        1.0272500
      0.026579005        57.614428       0.99527723
      0.026846126        57.621956        1.0032720
      0.027113246        56.949781       0.96117641
      0.027380367        55.762970       0.98021431
      0.027647488        55.776753       0.95358394
      0.027914608        54.787432       0.94891447
      0.028181729        54.365289       0.94264455
      0.028448849        54.044063       0.93911158
      0.028715969        53.141298       0.93637579
      0.028983089        52.795034       0.91309141
      0.029250209        52.669478       0.89990699
      0.029517328        51.003070       0.89473387
      0.029784448        51.370999       0.90232371
      0.030051567        50.757343       0.90155196
      0.030318686        50.228209       0.88591625
      0.030585805        49.537734       0.86313308
      0.030852924        49.342480       0.87740209
      0.031120043        48.180699       0.86235766
      0.031387161        48.446073       0.84621928
      0.031654279        47.724364       0.82703335
      0.031921398        46.992332       0.82669621
      0.032188516        46.715152       0.83150694
      0.032455633        46.481726       0.82533661
      0.032722751        45.831440       0.79797759
      0.032989869        46.035391       0.79607117
      0.033256986        44.476102       0.78095550
      0.033524103        44.617652       0.80827913
      0.033791220        44.707249       0.78145819
      0.034058337        43.780593       0.78214103
      0.034325454        43.657681       0.77111574
      0.034592570        42.797368       0.75665242
      0.034859686        42.425884       0.76273175
      0.035126802        41.826514       0.76790209
      0.035393918        41.709532       0.75627781
      0.035661034        41.085581       0.73905210
      0.035928150        41.201250       0.74875799
      0.036195265        40.494002       0.75227238
      0.036462380        40.422720       0.75048805
      0.036729495        40.293596       0.75226900
      0.036996610        39.423324       0.74422046
      0.037263725        39.286661       0.73849657
      0.037530839        38.420287       0.72589087
