1car300NaCl10A_1238.tif
             q                I              Err   
      0.025331475        29878.422        981.99045
      0.027997898        24807.518        449.79081
      0.030664307        20994.130        208.07135
      0.033330699        17636.499        151.12679
      0.035997075        14936.633        118.42122
      0.038663432        12836.105        96.882817
      0.041329769        11168.308        80.594315
      0.043996085        9719.9561        145.45630
      0.046662379        8636.5264        61.069840
      0.049328648        7653.8434        53.789179
      0.051994892        6837.0200        49.814738
      0.054661109        6144.5075        43.497535
      0.057327298        5526.0566        40.052078
      0.059993457        5033.8300        36.537265
      0.062659586        4583.3640        33.101531
      0.065325682        4212.7763        31.549249
      0.067991745        3880.8888        41.612546
      0.070657773        3554.4251        38.354968
      0.073323764        3285.5073        33.764178
      0.075989718        3046.4338        32.596333
      0.078655632        2821.4200        29.403465
      0.081321506        2628.7049        28.401641
      0.083987339        2437.0031        27.314858
      0.086653128        2288.7090        43.053801
      0.089318872        2161.5527        36.166573
      0.091984570        2048.9210        38.549990
      0.094650221        1918.9421        30.588467
      0.097315824        1802.6812        27.874377
      0.099981376        1697.7580        28.014286
       0.10264688        1599.1308        24.694987
       0.10531233        1506.5590        21.337435
       0.10797772        1419.6998        20.944083
       0.11064306        1343.1134        19.488303
       0.11330834        1272.3116        18.636561
       0.11597356        1211.8481        16.710953
       0.11863873        1148.5709        16.693864
       0.12130383        1094.5817        15.899172
       0.12396887        1034.8755        15.350524
       0.12663384        1002.0291        14.987776
       0.12929876        957.55758        13.683379
       0.13196360        908.99188        13.879089
       0.13462838        873.49399        13.674242
       0.13729308        837.04581        13.277456
       0.13995772        797.95431        12.702492
       0.14262229        771.09992        12.912971
       0.14528678        739.77382        15.481220
       0.14795119        710.89128        11.938527
       0.15061554        681.18057        11.653717
       0.15327980        660.81135        16.711354
       0.15594398        634.65052        11.194042
       0.15860809        614.94446        11.350295
       0.16127211        593.74384        10.628040
       0.16393605        575.92640        10.717094
       0.16659991        553.38864        10.484399
       0.16926368        534.44839        10.259679
       0.17192736        521.09922        10.271187
       0.17459095        505.06450        10.048072
       0.17725446        487.30639        9.8110312
       0.17991787        463.40531        12.963122
       0.18258119        456.85169        9.6143051
       0.18524442        453.87338        9.4095544
       0.18790755        431.51974        9.1494577
       0.19057059        422.79772        9.9526336
       0.19323353        413.55215        10.200376
       0.19589637        396.91026        9.9679555
       0.19855911        387.73714        10.089452
       0.20122174        376.96252        9.9427441
       0.20388427        369.00558        9.8940397
       0.20654670        356.24834        9.8810746
       0.20920902        351.50119        10.225588
       0.21187124        343.23409        11.615871
       0.21453334        334.23992        10.232847
       0.21719534        327.51197        11.399179
       0.21985722        323.55802        9.8857753
       0.22251900        307.20770        9.7000996
       0.22518065        308.56991        9.5994767
       0.22784219        295.40983        9.5910299
       0.23050362        293.11436        9.4978236
       0.23316492        281.06451        9.6508525
       0.23582611        283.05571        9.6340566
       0.23848718        272.75286        9.8088567
       0.24114812        271.06824        9.7318462
       0.24380894        267.21975        9.6160703
       0.24646963        265.27226        9.8601987
       0.24913020        263.17274        9.7293326
       0.25179064        263.98532        9.9005571
       0.25445095        261.33781        9.8315397
       0.25711113        261.35792        9.9658675
       0.25977118        260.39161        10.205242
       0.26243110        263.21306        10.173194
       0.26509088        274.05544        11.000312
       0.26775052        276.99233        11.038062
       0.27041003        285.95532        10.424177
       0.27306940        294.13313        10.612037
       0.27572863        297.18103        10.608515
       0.27838771        302.06621        10.710388
       0.28104666        304.22540        10.799251
       0.28370546        303.59826        10.747356
       0.28636411        299.90491        10.786113
       0.28902262        292.88566        10.997338
       0.29168098        288.92814        11.581558
       0.29433920        277.09518        11.270822
       0.29699726        271.30410        11.259432
       0.29965516        259.83300        11.298062
       0.30231292        251.85619        11.448944
       0.30497052        237.37209        11.694108
       0.30762796        229.99165        12.457687
       0.31028525        218.23609        11.756216
       0.31294238        211.70259        12.291713
