1car300NaCl10A_1254.tif
             q                I              Err   
     0.0017363316        17929.916        1844.2948
     0.0020034595        14075.318        566.12302
     0.0022705874        10881.836        203.15903
     0.0025377153        8636.5792        124.50671
     0.0028048432        7071.3227        84.075365
     0.0030719711        5915.9609        56.528718
     0.0033390989        5073.2461        42.006513
     0.0036062268        4401.6044        33.776642
     0.0038733546        3864.6769        27.115744
     0.0041404824        3423.5423        23.280706
     0.0044076102        3055.0102        18.648143
     0.0046747379        2734.4933        16.450245
     0.0049418656        2464.9772        14.557497
     0.0052089933        2226.3184        12.455565
     0.0054761210        2032.0583        11.452831
     0.0057432487        1848.2039        13.515362
     0.0060103763        1686.1689        9.0783921
     0.0062775039        1546.9604        8.6876233
     0.0065446314        1422.0257        7.7135555
     0.0068117589        1306.5099        7.2198876
     0.0070788864        1215.4556        7.5530564
     0.0073460139        1123.2290        7.3068432
     0.0076131413        1044.0842        6.3416330
     0.0078802686        973.99922        7.6089542
     0.0081473960        902.67397        6.9481187
     0.0084145233        838.10788        6.4414707
     0.0086816505        782.97835        5.6595967
     0.0089487777        738.37025        5.7938356
     0.0092159049        690.60579        5.2980044
     0.0094830320        652.92284        5.3923553
     0.0097501590        615.55671        5.3359938
      0.010017286        574.83679        4.4638763
      0.010284413        544.17407        4.4494502
      0.010551540        513.91857        4.0913496
      0.010818667        484.60424        3.8030208
      0.011085794        459.92029        3.4879165
      0.011352920        435.04896        3.5761080
      0.011620047        413.36677        3.3359075
      0.011887174        392.18849        3.2258494
      0.012154300        373.76824        3.1539284
      0.012421427        352.11974        3.0674291
      0.012688553        334.77417        2.9606256
      0.012955679        317.99159        2.8600137
      0.013222806        307.31593        2.8660151
      0.013489932        291.96786        2.8837087
      0.013757058        279.30226        2.7022135
      0.014024184        266.62805        2.5055237
      0.014291310        255.09257        2.5142892
      0.014558436        244.65739        2.4412552
      0.014825562        233.94273        2.3643850
      0.015092688        224.81976        2.3628631
      0.015359813        215.38131        2.1934431
      0.015626939        204.23557        2.2236462
      0.015894065        197.18549        2.2493491
      0.016161190        188.99665        2.0806908
      0.016428315        180.87865        2.1575670
      0.016695441        175.00970        2.0136332
      0.016962566        168.04585        1.9363768
      0.017229691        160.62651        1.9694993
      0.017496816        156.18185        1.8862228
      0.017763941        149.37876        1.8468927
      0.018031066        145.80680        1.8006722
      0.018298191        138.36988        1.7416804
      0.018565315        133.23369        1.6944052
      0.018832440        128.58734        1.7306375
      0.019099564        125.65999        1.7416755
      0.019366689        120.92394        1.7106338
      0.019633813        115.74708        1.7201556
      0.019900937        112.33801        1.7131646
      0.020168061        108.97626        1.6927667
      0.020435185        104.80442        1.6451067
      0.020702309        102.48564        1.6261903
      0.020969433        97.750423        1.6243847
      0.021236557        95.924389        1.6129050
      0.021503680        94.039831        1.5226857
      0.021770803        90.801264        1.5074164
      0.022037927        87.300009        1.4810694
      0.022305050        84.830329        1.4383410
      0.022572173        82.600764        1.4206299
      0.022839296        80.422128        1.4162627
      0.023106419        77.816992        1.4028628
      0.023373542        75.201493        1.3637552
      0.023640664        73.037169        1.3359705
      0.023907787        71.780042        1.3299159
      0.024174909        70.036883        1.2980117
      0.024442031        67.061887        1.2674383
      0.024709153        65.386409        1.2434981
      0.024976275        63.863004        1.2245806
      0.025243397        62.280698        1.1811497
      0.025510519        61.688913        1.1967811
      0.025777641        59.191496        1.1924150
      0.026044762        57.233518        1.1841967
      0.026311883        55.851234        1.1771361
      0.026579005        54.689014        1.1467281
      0.026846126        53.815198        1.1278997
      0.027113246        52.468175        1.0981052
      0.027380367        51.842516        1.1031817
      0.027647488        51.188874        1.0761865
      0.027914608        49.455345        1.0662003
      0.028181729        48.439645        1.0494575
      0.028448849        48.192181        1.0647386
      0.028715969        46.279590        1.0360357
      0.028983089        45.007559        1.0255789
      0.029250209        43.915658        1.0063623
      0.029517328        42.906915       0.97950200
      0.029784448        42.648485       0.98180502
      0.030051567        42.051027       0.97873622
      0.030318686        40.977872       0.95536582
      0.030585805        39.893580       0.94287173
      0.030852924        39.856384       0.94399961
      0.031120043        38.851303       0.95852194
      0.031387161        37.862899       0.90729063
      0.031654279        37.247383       0.90986741
      0.031921398        36.477079       0.90115213
      0.032188516        36.761706       0.89261998
      0.032455633        35.503468       0.87434189
      0.032722751        34.728149       0.86778868
      0.032989869        34.324008       0.86027121
      0.033256986        33.180425       0.84380918
      0.033524103        33.465896       0.82825147
      0.033791220        32.830986       0.84130636
      0.034058337        32.624784       0.81672547
      0.034325454        31.415290       0.78854405
      0.034592570        30.698277       0.79715134
      0.034859686        31.169530       0.80765391
      0.035126802        30.144450       0.79712096
      0.035393918        29.474323       0.78053097
      0.035661034        29.054350       0.80343675
      0.035928150        28.799696       0.78476160
      0.036195265        28.439833       0.78777142
      0.036462380        27.900330       0.78717959
      0.036729495        28.121523       0.78689837
      0.036996610        27.126354       0.78404507
      0.037263725        26.943623       0.75744718
      0.037530839        26.561942       0.77256809
      0.037797953        26.343765       0.74549951
      0.038065067        25.894745       0.74028691
      0.038332181        25.958034       0.72545393
      0.038599295        25.234924       0.72644904
      0.038866408        24.769659       0.71314523
      0.039133522        24.155950       0.70499508
      0.039400635        24.247871       0.71035336
      0.039667747        23.964222       0.70009955
      0.039934860        23.509212       0.68155587
      0.040201973        23.863929       0.68027080
      0.040469085        23.558805       0.66701215
      0.040736197        22.931533       0.67799774
      0.041003309        22.526690       0.66625578
      0.041270420        22.668290       0.63973791
      0.041537531        22.414190       0.63830209
      0.041804643        21.886754       0.63251258
      0.042071754        21.909611       0.63306921
      0.042338864        21.171093       0.63399486
      0.042605975        21.211189       0.61257516
      0.042873085        20.893695       0.62070052
      0.043140195        20.295930       0.61225837
      0.043407305        20.006463       0.61857452
      0.043674415        20.654244       0.60006589
      0.043941524        20.132826       0.60183829
      0.044208633        19.693877       0.60262698
      0.044475742        19.722626       0.58906003
      0.044742851        19.112091       0.59097251
      0.045009959        19.137234       0.57619234
      0.045277068        19.048257       0.57784905
      0.045544176        18.593468       0.56973316
      0.045811283        19.013979       0.57546778
      0.046078391        18.412219       0.56265609
      0.046345498        18.418751       0.55929807
      0.046612605        18.048940       0.55890448
      0.046879712        17.683454       0.53775464
      0.047146819        17.819677       0.54582267
      0.047413925        17.600233       0.54745950
      0.047681031        17.167078       0.55686408
      0.047948137        17.178344       0.55686488
      0.048215242        17.013097       0.55107872
      0.048482348        16.746363       0.54887457
      0.048749453        16.924064       0.54267440
      0.049016558        16.507894       0.53764386
      0.049283662        16.231597       0.53627139
      0.049550767        16.385461       0.52922901
      0.049817871        16.043814       0.52724701
      0.050084975        15.992251       0.52441798
      0.050352078        15.825344       0.51462069
      0.050619181        16.027121       0.71433925
      0.050886284        15.446204       0.50500475
      0.051153387        15.222294       0.50345150
      0.051420490        14.954246       0.49833433
      0.051687592        15.012117       0.49076678
      0.051954694        15.220756       0.49356576
      0.052221796        15.268870       0.48348353
      0.052488897        14.710161       0.48666702
      0.052755998        14.705173       0.48144079
      0.053023099        15.024400       0.47803563
      0.053290200        14.018060       0.47285214
      0.053557300        14.259154       0.47277597
      0.053824400        14.491858       0.46619610
      0.054091500        13.969274       0.46277498
      0.054358600        14.155440       0.46502432
      0.054625699        13.741932       0.45520554
      0.054892798        13.689180       0.45761591
      0.055159896        13.802121       0.45491304
      0.055426995        13.663802       0.45488348
      0.055694093        13.294479       0.44252828
      0.055961191        13.092309       0.44529809
      0.056228288        13.199039       0.44836556
      0.056495386        12.985226       0.43548413
      0.056762482        13.035039       0.42695516
      0.057029579        12.762508       0.43457715
      0.057296675        12.404161       0.43765369
      0.057563772        12.696628       0.43330445
      0.057830867        12.627040       0.43283916
      0.058097963        12.607595       0.43964912
      0.058365058        12.461940       0.43704164
      0.058632153        12.204938       0.43119779
      0.058899247        12.238396       0.43186790
      0.059166342        12.060529       0.42884102
      0.059433435        11.921849       0.42844945
      0.059700529        12.010504       0.42709400
      0.059967622        11.491863       0.42938986
      0.060234715        11.823894       0.42288490
      0.060501808        11.729992       0.42500673
      0.060768901        11.409545       0.42978798
      0.061035993        11.386037       0.41977690
      0.061303084        11.554590       0.41545919
      0.061570176        11.138322       0.41304066
      0.061837267        11.071035       0.41233381
      0.062104358        11.201847       0.41449436
      0.062371448        10.946865       0.40788227
      0.062638538        10.778644       0.40699577
      0.062905628        10.845612       0.40990861
      0.063172718        10.733413       0.40623579
      0.063439807        10.992436       0.39943227
      0.063706896        10.603947       0.40404646
      0.063973984        10.510556       0.40711023
      0.064241073        10.315991       0.40819047
      0.064508161        10.413722       0.41192924
      0.064775248        10.126010       0.41110370
      0.065042335        10.467104       0.40714374
      0.065309422        10.568182       0.41436215
      0.065576509        10.005958       0.41630672
      0.065843595        9.9377439       0.40044643
      0.066110681        10.069659       0.41597213
      0.066377766        9.9118969       0.41416378
      0.066644851        9.8024971       0.40339919
      0.066911936        9.6426702       0.41033930
      0.067179021        9.7022394       0.40834267
      0.067446105        9.5087385       0.43889587
      0.067713189        10.046986       0.41154088
      0.067980272        9.6098619       0.41232264
      0.068247355        9.3820167       0.41066029
      0.068514438        9.3828343       0.41365633
      0.068781520        9.2418378       0.40642277
      0.069048602        9.3718378       0.41649359
      0.069315684        8.9488816       0.40567496
      0.069582765        9.0085848       0.41106559
      0.069849846        8.9449040       0.40813920
      0.070116927        8.7516535       0.40877491
      0.070384007        8.8805180       0.40582005
      0.070651087        9.0957988       0.41475216
      0.070918166        8.7765677       0.40006670
      0.071185246        8.6326241       0.40232081
      0.071452324        8.7659561       0.40390669
      0.071719403        8.5134175       0.40524259
      0.071986481        8.4950072       0.40417866
      0.072253558        8.4760127       0.40343827
      0.072520636        8.4502857       0.40483531
      0.072787713        8.4202546       0.40031664
      0.073054789        8.4525569       0.40823417
      0.073321865        8.4790092       0.40528854
      0.073588941        8.2477938       0.40193271
      0.073856016        8.1036685       0.40091601
      0.074123091        8.1864631       0.40749835
      0.074390166        7.9592850       0.41167239
      0.074657240        8.1739255       0.41253510
      0.074924314        7.8524657       0.41740355
      0.075191388        7.9418828       0.41778523
      0.075458461        7.7853222       0.42138799
      0.075725533        7.6525248       0.43102378
      0.075992606        7.4724388       0.43870363
      0.076259678        7.6486089       0.43709501
      0.076526749        7.7986864       0.45088677
      0.076793820        7.5686399       0.45289417
      0.077060891        7.5453549       0.45097996
      0.077327961        7.3586793       0.45949124
      0.077595031        7.5759579       0.46722913
      0.077862101        7.7314503       0.46757222
      0.078129170        7.3190411       0.47036501
      0.078396239        7.3279591       0.46939816
      0.078663307        6.9368429       0.48126696
      0.078930375        7.0045247       0.48145472
