"q" "I"
0.0017363316 17929.916
0.0020034595 14075.318
0.0022705874 10881.836
0.0025377153 8636.5792
0.0028048432 7071.3227
0.0030719711 5915.9609
0.0033390989 5073.2461
0.0036062268 4401.6044
0.0038733546 3864.6769
0.0041404824 3423.5423
0.0044076102 3055.0102
0.0046747379 2734.4933
0.0049418656 2464.9772
0.0052089933 2226.3184
0.005476121 2032.0583
0.0057432487 1848.2039
0.0060103763 1686.1689
0.0062775039 1546.9604
0.0065446314 1422.0257
0.0068117589 1306.5099
0.0070788864 1215.4556
0.0073460139 1123.229
0.0076131413 1044.0842
0.0078802686 973.99922
0.008147396 902.67397
0.0084145233 838.10788
0.0086816505 782.97835
0.0089487777 738.37025
0.0092159049 690.60579
0.009483032 652.92284
0.009750159 615.55671
0.010017286 574.83679
0.010284413 544.17407
0.01055154 513.91857
0.010818667 484.60424
0.011085794 459.92029
0.01135292 435.04896
0.011620047 413.36677
0.011887174 392.18849
0.0121543 373.76824
0.012421427 352.11974
0.012688553 334.77417
0.012955679 317.99159
0.013222806 307.31593
0.013489932 291.96786
0.013757058 279.30226
0.014024184 266.62805
0.01429131 255.09257
0.014558436 244.65739
0.014825562 233.94273
0.015092688 224.81976
0.015359813 215.38131
0.015626939 204.23557
0.015894065 197.18549
0.01616119 188.99665
0.016428315 180.87865
0.016695441 175.0097
0.016962566 168.04585
0.017229691 160.62651
0.017496816 156.18185
0.017763941 149.37876
0.018031066 145.8068
0.018298191 138.36988
0.018565315 133.23369
0.01883244 128.58734
0.019099564 125.65999
0.019366689 120.92394
0.019633813 115.74708
0.019900937 112.33801
0.020168061 108.97626
0.020435185 104.80442
0.020702309 102.48564
0.020969433 97.750423
0.021236557 95.924389
0.02150368 94.039831
0.021770803 90.801264
0.022037927 87.300009
0.02230505 84.830329
0.022572173 82.600764
0.022839296 80.422128
0.023106419 77.816992
0.023373542 75.201493
0.023640664 73.037169
0.023907787 71.780042
0.024174909 70.036883
0.024442031 67.061887
0.024709153 65.386409
0.024976275 63.863004
0.025243397 62.280698
0.025510519 61.688913
0.025777641 59.191496
0.026044762 57.233518
0.026311883 55.851234
0.026579005 54.689014
0.026846126 53.815198
0.027113246 52.468175
0.027380367 51.842516
0.027647488 51.188874
0.027914608 49.455345
0.028181729 48.439645
0.028448849 48.192181
0.028715969 46.27959
0.028983089 45.007559
0.029250209 43.915658
0.029517328 42.906915
0.029784448 42.648485
0.030051567 42.051027
0.030318686 40.977872
0.030585805 39.89358
0.030852924 39.856384
0.031120043 38.851303
0.031387161 37.862899
0.031654279 37.247383
0.031921398 36.477079
0.032188516 36.761706
0.032455633 35.503468
0.032722751 34.728149
0.032989869 34.324008
0.033256986 33.180425
0.033524103 33.465896
0.03379122 32.830986
0.034058337 32.624784
0.034325454 31.41529
0.03459257 30.698277
0.034859686 31.16953
0.035126802 30.14445
0.035393918 29.474323
0.035661034 29.05435
0.03592815 28.799696
0.036195265 28.439833
0.03646238 27.90033
0.036729495 28.121523
0.03699661 27.126354
0.037263725 26.943623
0.037530839 26.561942
0.037797953 26.343765
0.038065067 25.894745
0.038332181 25.958034
0.038599295 25.234924
0.038663432 24.6362743926852
0.041329769 21.4352796576548
0.043996085 18.6554648442385
0.046662379 16.5760434485437
0.049328648 14.6899847080592
0.051994892 13.1222594975872
0.054661109 11.7931235976889
0.057327298 10.6061337693256
0.059993457 9.66140563092389
0.062659586 8.79682841060859
0.065325682 8.08556122607293
0.067991745 7.44857114866999
0.070657773 6.82199094443738
0.073323764 6.30585830841756
0.075989718 5.84700569338989
0.078655632 5.41513779273462
0.081321506 5.04526063114909
0.083987339 4.67732829136442
0.086653128 4.39270814074893
0.089318872 4.1486576676842
0.09198457 3.93248418931871
0.094650221 3.68301631369294
0.097315824 3.45987732927823
0.099981376 3.25849873776947
0.10264688 3.0692040286827
0.10531233 2.89153141959881
0.10797772 2.7248229761318
0.11064306 2.57783106813884
0.11330834 2.44194151501536
0.11597356 2.32589421119991
0.11863873 2.20444658655046
0.12130383 2.10082537548671
0.12396887 1.9862315539073
0.12663384 1.92318961687018
0.12929876 1.8378356431079
0.1319636 1.74462372942592
0.13462838 1.67649280042516
0.13729308 1.60653798441252
0.13995772 1.53150985707781
0.14262229 1.47996835592242
0.14528678 1.4198443233399
0.14795119 1.36441020367527
0.15061554 1.30738658132554
0.1532798 1.26829203566041
0.15594398 1.21808168086661
0.15860809 1.18025993498975
0.16127211 1.13956968731609
0.16393605 1.1053727606927
0.16659991 1.0621161466687
0.16926368 1.02576421622983
0.17192736 1.00014321865817
0.17459095 0.969367857929204
0.17725446 0.935284803088542
0.17991787 0.889411575566524
0.18258119 0.87683324432154
0.18524442 0.871116988308795
0.18790755 0.828213754912426
0.19057059 0.811473624009905
0.19323353 0.793728646118499
0.19589637 0.76178794693811
0.19855911 0.744182021982134
0.20122174 0.723502345803346
0.20388427 0.708230629253339
0.2065467 0.683745720074633
0.20920902 0.674634537984487
0.21187124 0.658767532842992
0.21453334 0.641505065758588
0.21719534 0.628592143785741
0.21985722 0.621003346628429
0.222519 0.589622256342224
0.22518065 0.592236739422603
0.22784219 0.566978661375587
0.23050362 0.562572976880159
0.23316492 0.539445757915318
0.23582611 0.543267458467839
0.23848718 0.523493248173775
0.24114812 0.520259965136015
0.24380894 0.512873576847862
0.24646963 0.509135768687442
0.2491302 0.505106170081562
0.25179064 0.506665750954888
0.25445095 0.501584397786043
0.25711113 0.501622994812013
0.25977118 0.499768360691429
0.2624311 0.505183556063019
0.26509088 0.525993283682867
0.26775052 0.531630042489462
0.27041003 0.548832665950309
0.2730694 0.564528297225625
0.27572863 0.570378116989601
0.27838771 0.579754219392756
0.28104666 0.583898342341731
0.28370546 0.582694675565662
0.28636411 0.575606046730963
0.28902262 0.56213403407363
0.29168098 0.554538385032543
0.2943392 0.531827441998214
0.29699726 0.520712650095998
0.29965516 0.498696223213706
0.30231292 0.48338637026857
0.30497052 0.455587107023911
0.30762796 0.441421864142308
0.31028525 0.418859474554527
0.31294238 0.406319759528465
0.31559934 0.385889956388515
0.31825615 0.369658745794606
0.32091279 0.353719229681399
0.32356927 0.344975458266608
0.32622558 0.337993081612799
0.32888173 0.32199301173682
0.33153771 0.319287323749724
0.33419351 0.297217866741745
0.33684915 0.288969292675065
0.33950462 0.286477644485888
0.34215991 0.273858854498615
0.34481502 0.271715097752865
0.34746996 0.266248599621246
0.35012473 0.256316765300161
0.35277931 0.246567494336124
0.35543371 0.242125573547792
0.35808793 0.233017136049746
0.36074197 0.220324856250221
0.36339583 0.222130298835469
0.3660495 0.219704424891941
0.36870298 0.215142068331376
0.37135627 0.216692148693586
0.37400937 0.208727803049375
0.37666229 0.218163787461992
0.379315 0.205058091481765
0.38196753 0.212608924980515
0.38461986 0.207848017334093
0.387272 0.204949459374858
0.38992393 0.209299964134004
0.39257567 0.210780796326298
0.39522721 0.202756184813592
0.39787855 0.202733633095286
0.40052968 0.197363234073081
0.40318061 0.201185164941023
0.40583133 0.19657545936849
0.40848185 0.20764315176711
0.41113216 0.197336939729183
0.41378226 0.207726353212948
0.41643214 0.197750970084341
0.41908182 0.198590181899623
0.42173128 0.204088751453616
0.42438053 0.201359513714723
0.42702956 0.202955580389326
0.42967837 0.2003564708633
0.43232696 0.198311864906292
0.43497534 0.204282849774667
0.43762349 0.208944568246443
0.44027142 0.207678620341945
0.44291913 0.211211620514238
0.44556661 0.205263935889287
0.44821386 0.20476382514553
0.45086088 0.211701654958326
0.45350768 0.215832266069268
0.45615424 0.215685382409523
0.45880058 0.215210126538282
0.46144668 0.21556429407693
0.46409254 0.214449337123852
