q I
0.0017363316 47.1044684
0.0020034595 36.9348727
0.0022705874 28.6558657
0.0025377153 20.6506124
0.0028048432 15.6508286
0.0030719711 12.4328996
0.0033390989 10.24045748
0.0036062268 8.56031704
0.0038733546 7.27611049
0.0041404824 6.28421728
0.0044076102 5.53670491
0.0046747379 4.92634296
0.0049418656 4.40970431
0.0052089933 3.97863356
0.005476121 3.6184269
0.0057432487 3.30760221
0.0060103763 3.05438177
0.0062775039 2.82166643
0.0065446314 2.62532534
0.0068117589 2.4366694
0.0070788864 2.29434832
0.0073460139 2.14167888
0.0076131413 1.99735954
0.0078802686 1.89236289
0.008147396 1.76275924
0.0084145233 1.64609148
0.0086816505 1.55298374
0.0089487777 1.48466098
0.0092159049 1.4073356
0.009483032 1.32838706
0.009750159 1.25952189
0.010017286 1.19277774
0.010284413 1.13736117
0.01055154 1.075796051
0.010818667 1.022893113
0.011085794 0.975487194
0.01135292 0.935394779
0.011620047 0.896045689
0.011887174 0.853371387
0.0121543 0.815917476
0.012421427 0.779605706
0.012688553 0.752104001
0.012955679 0.723940085
0.013222806 0.695129479
0.013489932 0.667828194
0.013757058 0.651285074
0.014024184 0.6221611
0.01429131 0.603453697
0.014558436 0.582445006
0.014825562 0.559104315
0.015092688 0.545986034
0.015359813 0.527012816
0.015626939 0.513976617
0.015894065 0.496877755
0.01616119 0.482885293
0.016428315 0.469693818
0.016695441 0.460222147
0.016962566 0.444115078
0.017229691 0.431956921
0.017496816 0.422213847
0.017763941 0.409138928
0.018031066 0.396325127
0.018298191 0.388481764
0.018565315 0.379198259
0.01883244 0.371564985
0.019099564 0.362542818
0.019366689 0.35678588
0.019633813 0.34448788
0.019900937 0.335149419
0.020168061 0.332423762
0.020435185 0.326040275
0.020702309 0.318619708
0.020969433 0.309996929
0.021236557 0.303707965
0.02150368 0.298158333
0.021770803 0.290702192
0.022037927 0.286885577
0.02230505 0.280115198
0.022572173 0.274745031
0.022839296 0.267214574
0.023106419 0.264788084
0.023373542 0.26169429
0.023640664 0.256938022
0.023907787 0.250828809
0.024174909 0.24725844
0.024442031 0.242241131
0.024709153 0.240143497
0.024976275 0.233008215
0.025243397 0.2315951
0.025510519 0.224178823
0.025777641 0.222325895
0.026044762 0.220710479
0.026311883 0.216330466
0.026579005 0.213073608
0.026846126 0.209421102
0.027113246 0.206440267
0.027380367 0.205513099
0.027647488 0.203622969
0.027914608 0.196705498
0.028181729 0.195348692
