"q" "I"
0.0017363316 47.1044684
0.0020034595 36.9348727
0.0022705874 28.6558657
0.0025377153 20.6506124
0.0028048432 15.6508286
0.0030719711 12.4328996
0.0033390989 10.24045748
0.0036062268 8.56031704
0.0038733546 7.27611049
0.0041404824 6.28421728
0.0044076102 5.53670491
0.0046747379 4.92634296
0.0049418656 4.40970431
0.0052089933 3.97863356
0.005476121 3.6184269
0.0057432487 3.30760221
0.0060103763 3.05438177
0.0062775039 2.82166643
0.0065446314 2.62532534
0.0068117589 2.4366694
0.0070788864 2.29434832
0.0073460139 2.14167888
0.0076131413 1.99735954
0.00766 1.9733528076815
0.00808 1.7737527113988
0.00851 1.61161732035686
0.00893 1.46451014441149
0.00936 1.33444200107562
0.00979 1.22924449539959
0.01021 1.13748771730992
0.01064 1.04806983748529
0.01106 0.970917944489482
0.01149 0.908931848841136
0.01191 0.856576510754681
0.01234 0.798813131883472
0.01276 0.75054292832327
0.01319 0.70774426504823
0.01362 0.667739579791144
0.01404 0.630211375049974
0.01447 0.596863554085668
0.01489 0.568712108904757
0.01532 0.540010334720308
0.01574 0.51838875483136
0.01617 0.497656167948125
0.01659 0.473907354795506
0.01702 0.454783421922608
0.01744 0.436929479057872
0.01787 0.419731697697353
0.0183 0.404968063852476
0.01872 0.388892106999166
0.01915 0.375059799160275
0.01957 0.36220115032764
0.02 0.35102523825582
0.02042 0.33941541293121
0.02085 0.323488044908855
0.02127 0.315475572114864
0.0217 0.307046965928199
0.02212 0.29704621794393
0.02255 0.287493458935041
0.02298 0.280003375364406
0.0234 0.271687692455967
0.02383 0.262689178253139
0.02425 0.256654609064359
0.02468 0.251139783286418
0.0251 0.245262375361148
0.02553 0.237419340400746
0.02595 0.23274249636319
0.02638 0.225661561240186
0.0268 0.219990526691241
0.02723 0.213902300424616
0.02766 0.210699808954036
0.02808 0.205889721798124
0.02851 0.204035536386209
0.02893 0.197127849066817
0.02936 0.189675124368923
0.02978 0.185589989842671
0.03021 0.182689120999029
0.03063 0.181603279542051
0.03106 0.175669251228916
0.03148 0.175370803576998
0.03191 0.170806247822665
0.03234 0.16767148915252
0.03276 0.164397031581477
0.03319 0.159983816303116
0.03361 0.158381512242819
0.03404 0.153160794984269
0.03446 0.151900329901168
0.03489 0.14929261708441
0.03531 0.146790736768332
0.03574 0.143977708900255
0.03616 0.142361646614869
0.03659 0.141148806157075
0.03702 0.136200078425273
0.03744 0.135251819219179
0.03787 0.13216786014936
0.03829 0.129381290406453
0.03872 0.127633995820224
0.03914 0.126589429038511
0.03957 0.126180915585886
0.03999 0.123727718220121
0.04042 0.121131646978437
0.04084 0.120259587172833
0.04127 0.117036987527123
0.0417 0.117713257206469
0.04212 0.115067444689467
0.04255 0.112834378925116
0.04297 0.110879652637554
0.0434 0.109192682576713
0.04382 0.109551454754019
0.04425 0.105848375555221
0.04467 0.104931866099331
0.0451 0.104860958323876
0.04552 0.103138005212803
0.04595 0.103475610889973
0.04638 0.101281703150874
0.0468 0.100087912543202
0.04723 0.0996931573156655
0.04765 0.0972452515749344
0.04808 0.095469382213522
0.0485 0.0971044943490298
0.04893 0.0925060721944786
0.04935 0.0939877272040003
0.04978 0.0903015812053118
0.0502 0.0913059316367661
0.05063 0.0913789560622354
0.05106 0.09049737133157
0.05148 0.0882283225169882
0.05191 0.0871297811599286
0.05233 0.0874430453619418
0.05276 0.0870292402842825
0.05318 0.083912473139253
0.05361 0.0841844626660009
0.05403 0.0816910489499773
0.05446 0.0828435648823838
0.05488 0.082554642155527
0.05531 0.0805469996176252
0.05574 0.0811777613216786
0.05616 0.0789923201826342
0.05659 0.0777646631747448
0.05701 0.0768132289936306
0.05744 0.0769285864193719
0.05786 0.0758131118622034
0.05829 0.0762512584150191
0.05871 0.0743610899528722
0.05914 0.0756279049860132
0.05956 0.0722666647644126
0.05999 0.0734720969471592
0.06042 0.0718899010619914
0.06084 0.0720094917877599
0.06127 0.0716814110356516
0.06169 0.0708368676802242
0.06212 0.0703140551268644
0.06254 0.0700992151504838
0.06297 0.0686810596413702
0.06339 0.0676269679345962
0.06382 0.0670755806060528
0.06424 0.0669062486049646
0.06467 0.065514551221021
0.06531 0.0652997112446404
0.06616 0.0636413159589829
0.06701 0.0632963020067657
0.06786 0.0625163164767533
0.06871 0.0617447975467951
0.06956 0.0613034760189591
0.07041 0.0602134012619539
0.07126 0.0588132372779559
0.07211 0.0590439521294386
0.07297 0.0578713280219028
0.07382 0.0567558534647344
0.07467 0.0550075005534988
0.07552 0.0558488689339057
0.07637 0.0538623928961399
0.07722 0.0535290205189975
0.07807 0.0533501635928481
0.07892 0.0522410389857205
0.07977 0.0510260818779127
0.08062 0.0510684148781847
0.08147 0.0507519757011512
0.08232 0.0492470375414799
0.08318 0.0485527763370183
0.08403 0.0478521651825159
0.08488 0.0474478850299179
0.08573 0.0463662768729671
0.08658 0.0464562344985451
0.08743 0.0452793770909822
0.08828 0.0440951114083717
0.08934 0.0446401487868743
0.09041 0.0435458407298419
0.09126 0.0434315416291073
0.09211 0.042267384121626
0.09296 0.0424420077477482
0.09381 0.0422060012712316
0.09487 0.0415466647919944
0.09594 0.0400343183572755
0.09679 0.0400565431824184
0.09764 0.0394966892538205
0.0987 0.0394183732033172
0.09977 0.0385590132977947
0.10062 0.0386045212730871
0.10168 0.0374509470156738
0.10274 0.0361492072573083
0.10381 0.0366138119352941
0.10487 0.0361587321823695
0.10593 0.0356126364788601
0.107 0.0348273593238136
0.10806 0.0350263244250923
0.10912 0.0342886718953518
0.11019 0.0335520776906182
0.11125 0.0336769600414207
0.11231 0.0331943638383194
0.11359 0.0325487855841707
0.11465 0.0326440348347828
0.11572 0.0318587576797363
0.11699 0.0312999620761453
0.11827 0.0310343224994382
0.11933 0.0304067357704051
0.1204 0.030337944644963
0.12167 0.0295950004901886
0.12295 0.0288478230353869
0.12422 0.0280837123804764
0.1255 0.0284350762827344
0.12678 0.0275831246522595
0.12805 0.0277259985281776
0.12933 0.0267555144969409
0.1306 0.0266729651464105
0.13188 0.026286676518928
0.13316 0.0264613001450502
0.13443 0.0258813380413232
0.13571 0.0249489537103313
0.13698 0.0247880883092975
0.13847 0.0246208729582229
0.13996 0.0245055155324816
0.14124 0.0240980604048632
0.14273 0.0236059392767006
0.14421 0.022757162621246
0.14549 0.0227476376961848
0.14698 0.0224216735940901
0.14847 0.0222068336177094
0.14996 0.0221052344170565
0.15144 0.0220830095919137
0.15293 0.0218702862655466
0.15463 0.0208701691341195
0.15612 0.0203748730309366
0.15761 0.0199324931780937
0.15931 0.020021392478665
0.1608 0.0197917359521891
0.16229 0.0190350335723262
0.16399 0.0198795769277536
0.16569 0.0194022723496863
0.16739 0.0186995445451703
0.16909 0.0183026726676198
0.17079 0.0181904902168989
0.17249 0.0181375739665588
0.1742 0.0170781906347509
0.1759 0.0175099872375257
0.1776 0.0168443008082478
0.1793 0.0168622923333634
0.18121 0.0164611871557858
0.18313 0.0163955710053641
0.18483 0.0157214179760317
0.18674 0.0159140331272695
0.18865 0.0153965121989437
0.19057 0.0154250869741274
0.19248 0.0152419967479508
0.19439 0.0142947958668637
0.19631 0.0137994997636808
0.19822 0.0141191139157347
0.20034 0.0137910331636263
0.20226 0.0136005346624021
0.20417 0.0133856946860215
0.2063 0.0129538980832466
0.20842 0.012807849232308
0.21055 0.0122310621036014
0.21267 0.0122839783539414
0.2148 0.0119220312016154
0.21692 0.0119601309018603
0.21905 0.0114828263237929
0.22117 0.0113621772730176
0.2233 0.0111102959213989
0.22564 0.0107314155689641
0.22798 0.0105398587427331
0.2301 0.0103313687163932
0.23244 0.0101747366153867
0.23478 0.00972389016248936
0.23711 0.00933336823497972
0.23945 0.00943285078561903
0.24179 0.00924764390942882
0.24434 0.0091312281586807
0.24689 0.00822212697783847
0.24923 0.00862005718039571
0.25156 0.0080697281768591
0.25411 0.00776069727487315
0.25666 0.00803692010164826
0.25921 0.00753209907340409
0.26176 0.0077225975746283
0.26452 0.00742838322273758
0.26728 0.00689710406932338
0.26983 0.0067489385683712
0.27259 0.00668438074295633
0.27536 0.00695637026970424
0.27812 0.00649811554175932
0.28088 0.00632772521566433
0.28364 0.00630338374050791
0.28661 0.00597106968837233
0.28938 0.00581126261234535
0.29214 0.00583454576249498
0.29511 0.0056789719864952
0.29808 0.00519637578339386
0.30106 0.00543979053495813
0.30403 0.00497624418197921
0.307 0.00528104178393795
0.31019 0.00502281048227846
0.31337 0.00511700140788377
0.31634 0.00448623970383026
0.31953 0.00478468735574819
0.32271 0.0048809949313671
0.3259 0.00442062355340858
0.32929 0.00440474867830657
0.33269 0.00436982395308213
0.33609 0.00423012505218437
0.33927 0.00409783442633422
0.34267 0.003550680397818
0.34628 0.00350305577251195
0.34967 0.00329985737120612
0.35307 0.00373588727400821
0.35646 0.00347236434731471
0.36007 0.00315380852026755
